cord_uid,title,uri,url,authors
2ig961lu,Cancer and risk of COVID-19 through a general community survey,gs://research-papers/2ig961lu.pdf,http://medrxiv.org/cgi/content/short/2020.05.20.20103762v1?rss=1,"Lee, K. A.; Ma, W.; Sikavi, D. R.; Wolf, J.; Steves, C. J.; Spector, T. D.; Chan, A. T."
n4mjdlgx,Pharmacological interventions for COVID-19: Protocol for a Rapid Living Systematic Review with network meta-analysis,gs://research-papers/n4mjdlgx.pdf,http://medrxiv.org/cgi/content/short/2020.05.02.20088823v1?rss=1,"Pinto, A. C. P. N.; Rocha, A. P.; Milby, K. M. M.; Rocha Filho, C. R.; Reis, F. S. A.; Carvas Junior, N.; Civile, V. T.; Santos, R. R. P.; Trevisani, G. F. M.; Ferla, L. J.; Ramalho, G. S.; Puga, M. E. S.; Trevisani, V. F. M.; Atallah, A. N."
5mkwr8sk,Hyperpyrexia leading to death in a patient with severe COVID-19 disease,gs://research-papers/5mkwr8sk.pdf,http://medrxiv.org/cgi/content/short/2020.05.18.20097220v1?rss=1,"Singhal, T.; Phadtare, S.; Pai, S.; Raodeo, A."
7r3hougf,The specificity of Japanese PCR assays for SARS-CoV-2 exceeds 99.7%,gs://research-papers/7r3hougf.pdf,http://medrxiv.org/cgi/content/short/2020.05.15.20103515v1?rss=1,"Tsukadaira, A."
csantx0k,Pooling of Nasopharyngeal Swab Specimens for SARS-CoV-2 detection by RT-PCR,gs://research-papers/csantx0k.pdf,http://medrxiv.org/cgi/content/short/2020.04.22.20075598v1?rss=1,"Torres, Ignacio; Albert, Eliseo; Navarro, David"
i3qcrajc,Regional Difference in Seroprevalence of SARS-CoV-2 in Tokyo: Results from the community point-of-care antibody testing,gs://research-papers/i3qcrajc.pdf,http://medrxiv.org/cgi/content/short/2020.06.03.20121020v1?rss=1,"Takita, M.; Matsumura, T.; Yamamoto, K.; Yamashita, E.; Hosoda, K.; Hamaki, T.; Kusumi, E."
p6o7s9cs,The spectrum of COVID-19-associated dermatologic manifestations: an international registry of 716 patients from 31 countries,gs://research-papers/p6o7s9cs.pdf,http://medrxiv.org/cgi/content/short/2020.05.24.20111914v1?rss=1,"Freeman, E. E.; McMahon, D. E.; Lipoff, J. B.; Rosenbach, M.; Kovarik, C.; Desai, S. R.; Harp, J.; Takeshita, J.; French, L. E.; Lim, H. W.; Thiers, B. H.; Hruza, G. J.; Fox, L. P."
v1ei9im8,COVID-19 outbreak at a large homeless shelter in Boston: Implications for universal testing,gs://research-papers/v1ei9im8.pdf,http://medrxiv.org/cgi/content/short/2020.04.12.20059618v1?rss=1,"Baggett, Travis P.; Keyes, Harrison; Sporn, Nora; Gaeta, Jessie M."
vchnxw27,Preliminary Results of Seroprevalence of SARS-CoV-2 at Community Clinics in Tokyo,gs://research-papers/vchnxw27.pdf,http://medrxiv.org/cgi/content/short/2020.04.29.20085449v1?rss=1,"Takita, M.; Matsumura, T.; Yamamoto, K.; Yamashita, E.; Hosoda, K.; Hamaki, T.; Kusumi, E."
yy3x8yx9,Social determinants of COVID-19 mortality at the county level,gs://research-papers/yy3x8yx9.pdf,http://medrxiv.org/cgi/content/short/2020.05.03.20089698v1?rss=1,"Fielding-Miller, R. K.; Sundaram, M. E.; Brouwer, K."
